,H,vX,vY,h,x,y
0,278.17912454079755,-557.1161526502163,-492.55625943352084,120.37915692052432,-256125.0,-1980117.0918152204
1,298.49354276372975,-686.7073400805884,-647.4053841660607,127.02765453024162,-256125.0,-1979867.0918152204
2,319.9767092346963,-608.6893562913235,-555.1338766665078,138.66119583516797,-255875.0,-1979867.0918152204
3,355.22133505651226,-538.8318144133597,-489.19009655980653,150.74909676784281,-255625.0,-1979867.0918152204
4,357.8462854845727,-909.7518005597861,-997.694834608929,123.9292409905041,-256375.0,-1979617.0918152204
5,341.11301161974814,-808.9336894785835,-834.7204268180841,135.3350538752027,-256125.0,-1979617.0918152204
6,350.7165093070855,-700.2980704818509,-694.319032711261,148.14778996218223,-255875.0,-1979617.0918152204
7,378.5993151991107,-590.885739201155,-583.2444159726416,161.74623391824963,-255625.0,-1979617.0918152204
8,406.4605125326908,-486.3274270923569,-495.5607180312987,178.08442426340804,-255375.0,-1979617.0918152204
9,487.44397242062325,-1002.0962902740301,-1342.541579637613,123.70155728729688,-256625.0,-1979367.0918152204
10,442.5244853176828,-970.3095114584147,-1192.0361946774,132.8093958897629,-256375.0,-1979367.0918152204
11,408.95539533524845,-883.6038651839021,-1016.2426801621559,144.98857880863594,-256125.0,-1979367.0918152204
12,399.0633389298078,-759.2272148100218,-838.6109004297937,158.56755634093136,-255875.0,-1979367.0918152204
13,407.32148858312337,-620.6522738557039,-681.8741038803547,173.7782021049781,-255625.0,-1979367.0918152204
14,415.4483496645395,-492.9878675122045,-557.849003199811,192.53126377903476,-255375.0,-1979367.0918152204
15,404.6868781966589,-391.75911051475686,-466.055063692929,212.86649254079737,-255125.0,-1979367.0918152204
16,556.6210201700094,-907.931346162485,-1510.3210882494604,129.229018212371,-256875.0,-1979117.0918152204
17,559.1834194633311,-955.5647749868667,-1445.6903260783483,134.31873158855075,-256625.0,-1979117.0918152204
18,530.936359593685,-956.0119927919884,-1326.4965319808862,143.4002208389289,-256375.0,-1979117.0918152204
19,491.60655511579,-891.9168828680345,-1156.5932878943981,155.60538453934956,-256125.0,-1979117.0918152204
20,460.29420211395995,-772.9791928814698,-962.3820671042436,169.43656740626096,-255875.0,-1979117.0918152204
21,440.233475380698,-628.8676044670588,-776.1432937099174,185.76919191765404,-255625.0,-1979117.0918152204
22,419.71571622226134,-494.70467169291436,-622.1613131598876,205.55605135240128,-255375.0,-1979117.0918152204
23,388.4119401660123,-389.28453342894153,-506.15324941520566,224.55079209874376,-255125.0,-1979117.0918152204
24,348.5586122591591,-309.391449004027,-417.7503610929133,237.46175934360465,-254875.0,-1979117.0918152204
25,418.9362971918268,-812.0783385359553,-1618.7379361827698,135.3767892593819,-257375.0,-1978867.0918152204
26,503.5392238885851,-813.1574675943556,-1587.75275996954,139.1744023951457,-257125.0,-1978867.0918152204
27,572.3829940287674,-837.7683273795146,-1547.6310589037655,142.0806296343859,-256875.0,-1978867.0918152204
28,608.7964514009411,-870.5136753531486,-1487.567694654032,146.75941293448886,-256625.0,-1978867.0918152204
29,604.7289267730367,-879.9536064223361,-1386.8873775404559,155.0220447516318,-256375.0,-1978867.0918152204
30,571.178514692328,-837.9687910063457,-1233.3920146777625,166.36541332206295,-256125.0,-1978867.0918152204
31,525.1540104820301,-742.776662040687,-1045.9374090523502,179.8853880534663,-255875.0,-1978867.0918152204
32,477.89132107529565,-617.7397555598577,-854.7696885893297,196.55989169066953,-255625.0,-1978867.0918152204
33,430.9755038112848,-495.3136841233402,-687.4945138684981,215.9253955881367,-255375.0,-1978867.0918152204
34,381.6813416180031,-392.24488288465324,-553.774052962498,233.06324774133918,-255125.0,-1978867.0918152204
35,337.0771884680942,-309.62610596479186,-451.3171334227726,243.53100522892785,-254875.0,-1978867.0918152204
36,303.7896966548937,-248.08618528625516,-378.6298360298965,247.77402926397033,-254625.0,-1978867.0918152204
37,253.79915023761242,-738.8928209469774,-1524.1316240693538,136.75787627016302,-257875.0,-1978617.0918152204
38,310.4041581259412,-766.8610663889307,-1597.0842119030922,142.60506924573704,-257625.0,-1978617.0918152204
39,389.82146884501833,-766.3680948096907,-1618.7045502974515,148.4493722861541,-257375.0,-1978617.0918152204
40,483.8825665841912,-754.0028113389925,-1598.4479978941542,153.19462343397123,-257125.0,-1978617.0918152204
41,573.0393864475695,-752.1984074928529,-1553.3580096477817,156.62864106974808,-256875.0,-1978617.0918152204
42,635.5011320497617,-762.0392159261542,-1485.1345863704753,160.54109809071787,-256625.0,-1978617.0918152204
43,654.4308752261232,-766.0489656820829,-1385.231554640721,166.98069372344062,-256375.0,-1978617.0918152204
44,633.5252574598242,-742.4745307756237,-1247.5892153872749,176.61703040068952,-256125.0,-1978617.0918152204
45,586.5922151810272,-680.6137708637282,-1081.9784581780732,189.3693689530486,-255875.0,-1978617.0918152204
46,525.000044104589,-590.4727699643164,-908.7800490180518,205.75597482288023,-255625.0,-1978617.0918152204
47,460.0993540536823,-492.0106795424613,-747.324846887694,224.4126392372873,-255375.0,-1978617.0918152204
48,398.3789531361274,-398.4516938319011,-609.4691281696594,240.29554494589703,-255125.0,-1978617.0918152204
49,349.8548632384515,-317.1768651205338,-501.6929955939685,249.58043639659635,-254875.0,-1978617.0918152204
50,318.1561245861224,-254.61057646925545,-426.32936985936726,252.79480341491845,-254625.0,-1978617.0918152204
51,231.88793131520083,-640.220442697947,-1405.6712267573034,152.10613748912465,-257875.0,-1978367.0918152204
52,283.5682657095847,-680.1622693705367,-1517.6630416342139,158.68927493862833,-257625.0,-1978367.0918152204
53,360.5555319351739,-682.4836979649183,-1564.9781517397341,164.79729747195375,-257375.0,-1978367.0918152204
54,457.6953543580284,-664.4316745524357,-1558.2322519529043,169.52658101402426,-257125.0,-1978367.0918152204
55,559.1341673449435,-646.1719758965727,-1512.1934062412504,172.67427823338164,-256875.0,-1978367.0918152204
56,639.017875730775,-640.5200678321187,-1439.950021279965,175.3005206399571,-256625.0,-1978367.0918152204
57,677.2034415021601,-641.2472315774618,-1341.9379906052181,179.39154932139866,-256375.0,-1978367.0918152204
58,672.7169940582966,-633.2659528148107,-1219.3782356502209,186.84069327661103,-256125.0,-1978367.0918152204
59,635.5424568200675,-603.8208321095665,-1081.4420506254817,198.42388170207337,-255875.0,-1978367.0918152204
60,576.9302572614987,-550.5082253203481,-936.8306545779315,214.43079666402852,-255625.0,-1978367.0918152204
61,507.0899194778705,-479.0151257505761,-793.5786140615567,232.5253056705218,-255375.0,-1978367.0918152204
62,439.51383568035783,-399.4827179554963,-664.3024080258598,247.61195043857097,-255125.0,-1978367.0918152204
63,385.4770696750793,-323.8098264893645,-560.2854897995609,256.0250461513925,-254875.0,-1978367.0918152204
64,349.68220592610413,-261.88059681465415,-485.41799173839956,258.16421896771385,-254625.0,-1978367.0918152204
65,198.2812170004648,-352.1758773455216,-868.1901639198169,154.469536713815,-258375.0,-1978117.0918152204
66,201.39773263094713,-440.48513648702584,-1066.586955319437,163.19805781037593,-258125.0,-1978117.0918152204
67,220.8777997691622,-517.3874349342834,-1257.624203621468,171.2212364090195,-257875.0,-1978117.0918152204
68,264.96162948928753,-560.3409425504512,-1395.0348037245492,178.17767556583587,-257625.0,-1978117.0918152204
69,336.1890956038838,-565.6411744345858,-1462.8458387252965,183.80562741402315,-257375.0,-1978117.0918152204
70,429.6485441279365,-545.8821646431695,-1464.7664911054217,187.53042500351958,-257125.0,-1978117.0918152204
71,533.162385329839,-525.27909627594,-1425.246528343955,189.6628483006801,-256875.0,-1978117.0918152204
72,622.8611171133695,-517.7366143081875,-1359.9261466549676,190.79194642320965,-256625.0,-1978117.0918152204
73,674.9715992938159,-523.0549219032484,-1273.5967067831568,192.6768457074674,-256375.0,-1978117.0918152204
74,685.8430182564264,-529.6777105784884,-1170.312248103222,197.88452753795576,-256125.0,-1978117.0918152204
75,665.9954034433455,-524.3616472737567,-1058.2230168034816,208.17111346652413,-255875.0,-1978117.0918152204
76,622.1634369215022,-499.0071043983673,-942.069272157595,223.24768639806882,-255625.0,-1978117.0918152204
77,561.4160931437632,-451.17417810001024,-821.7619465475004,240.18807625405285,-255375.0,-1978117.0918152204
78,494.25654148999075,-386.938422627742,-707.2452536264896,254.02503530994144,-255125.0,-1978117.0918152204
79,434.82509398611637,-318.905377953547,-611.0453246265979,261.26391064116865,-254875.0,-1978117.0918152204
80,392.3791720790431,-259.6006364920761,-537.2202892349499,262.27945663931905,-254625.0,-1978117.0918152204
81,364.04676144487155,-214.34730705219928,-482.37247948951375,259.84293568763525,-254375.0,-1978117.0918152204
82,208.32882893927908,-247.10463733336982,-718.7424566560053,178.27738003483046,-258375.0,-1977867.0918152204
83,208.47113794925588,-317.74002118608115,-905.6806588683924,185.80118385293355,-258125.0,-1977867.0918152204
84,223.92788711889534,-383.8116281251244,-1099.1027294320752,193.09832585010003,-257875.0,-1977867.0918152204
85,261.4247697055247,-423.26793884139727,-1248.9097221431778,199.1047677424066,-257625.0,-1977867.0918152204
86,323.420403045437,-431.03839863726785,-1327.5072364529492,203.2468762064445,-257375.0,-1977867.0918152204
87,407.60769919987024,-418.910696548807,-1340.0149879025469,205.54207491325937,-257125.0,-1977867.0918152204
88,504.54671840494234,-406.9827592946324,-1312.648165294326,206.43067345248832,-256875.0,-1977867.0918152204
89,595.1299212238589,-408.22002777156445,-1263.6658832262256,206.3804454095402,-256625.0,-1977867.0918152204
90,655.6211303700586,-421.4377429070976,-1195.4084875727426,206.76323692936137,-256375.0,-1977867.0918152204
91,680.0842165755627,-438.31801994672065,-1112.527462535722,210.19756200837594,-256125.0,-1977867.0918152204
92,678.2831817066399,-446.987752718656,-1022.6639628987003,218.7338244027709,-255875.0,-1977867.0918152204
93,654.418631861849,-437.92863752274803,-929.1202873258927,231.77880834974835,-255625.0,-1977867.0918152204
94,611.333646280829,-406.6726658002824,-830.4891764299414,246.29192585338762,-255375.0,-1977867.0918152204
95,551.9290330644867,-356.34491713607525,-732.2990774878954,257.94018367092656,-255125.0,-1977867.0918152204
96,489.5561684213518,-297.71940197295976,-644.0569563431455,263.80180336326674,-254875.0,-1977867.0918152204
97,437.54103829876647,-242.4487824185511,-569.5151067893443,264.2098809019216,-254625.0,-1977867.0918152204
98,398.4465256992318,-197.41273295345783,-506.81567273510126,261.6761231982778,-254375.0,-1977867.0918152204
99,215.54047513387636,-156.33163897143478,-597.7549038036743,204.7063438532596,-258375.0,-1977617.0918152204
100,220.02944950661785,-206.85312632761438,-764.7103887778038,210.09349716457788,-258125.0,-1977617.0918152204
101,237.21245398445666,-256.9714670018256,-947.7766722887065,215.17381046931516,-257875.0,-1977617.0918152204
102,271.4927061918767,-291.7096647507193,-1098.7467204970426,219.04748432661424,-257625.0,-1977617.0918152204
103,324.1870587419951,-306.645345219246,-1187.406883062186,221.35754687141812,-257375.0,-1977617.0918152204
104,394.8933556300932,-308.13186695191064,-1213.017321699058,222.48736830666041,-257125.0,-1977617.0918152204
105,479.7534296583649,-310.03393455917006,-1201.5030835039827,222.6805535120337,-256875.0,-1977617.0918152204
106,564.5816917698535,-320.2386040737847,-1168.8585099995798,222.08177244554008,-256625.0,-1977617.0918152204
107,627.8609489196906,-338.4233931255354,-1117.029102307071,221.53057671041222,-256375.0,-1977617.0918152204
108,661.7051462518995,-359.1215419470796,-1051.0883896461971,223.412182356696,-256125.0,-1977617.0918152204
